# Vanilla ability action data for The Ivalice Chronicles Mod Studio
# =================================================================
#
# One ability per line:
#
#     <decimal id>|<Range>|<EffectArea>|...|<CT>|<MPCost>|<Flags1..4>
#
# The `#columns:` line below is the authority on the order - the tool reads
# it from there rather than counting positions, so a hand-edited file with a
# column dropped is refused instead of silently misread.
#
# Blank lines and lines starting with # are ignored, except the `#columns:`
# line below, which names the fields and is what the tool reads the order
# from. Edit freely - this is your file. Deleting it is fine too: the
# Abilities tab then shows -1 for an inherited field, as it did before.
#
# WHAT THIS IS FOR
# ----------------
# The Abilities tab's override layer patches the game's own ability table.
# A field it does not set reads -1, and in the vanilla game that is eight of
# its ten fields on all 368 abilities. This file is what lets the tab say
# "Inherits 6" instead of just "-1", and it is what lets the Inflict Status
# tab list the abilities that use each status row.
#
# The last four columns are the flag bytes - FFTPatcher's Flags I to IV, in
# that order. The nxd stores them as `Flags12` and `Flags34`, two values to
# an array, and the table layout says which is which: Flags12[0] is Flags1.
# They are what the four tick-box panels show while a group is inheriting.
#
# WHERE IT CAME FROM, AND HOW SURE IT IS
# --------------------------------------
# Derived from FFTPatcher's copy of the WAR OF THE LIONS ability table
# (Glain, https://github.com/Glain/FFTPatcher, GPL-3.0), 14 bytes per
# ability at 0x1000 + 14*id. The Ivalice Chronicles does not ship this
# table as a file - it lives inside the executable - so it cannot be
# compared byte for byte against your own game. What IS established:
#
#   * the ability ids are the same ids: FFTPatcher's War of the Lions names
#     and this game's agree exactly on 440 of 491 - 89.6%;
#   * the table is the same length, and it is an odd one - the 14-byte
#     record stops at id 0x16F, and OverrideAbilityActionData holds exactly
#     368 rows keyed 0-367;
#   * this game's own 32 overrides all land on an ability whose value here
#     is non-zero, and 31 of the 32 are strictly LOWER - a rebalance of
#     these numbers, with nothing restating a value it already had;
#   * everything else this game reuses from the older data is
#     byte-identical - all four ENTD battle files by checksum, and the
#     ability effect and animation tables inside battle_bin.
#
# **War of the Lions, not the original PlayStation release.** FFTPatcher
# ships both and they differ in 55 of the 368 records. The first version of
# this file used the older one, and about one ability in seven was wrong -
# Plunder Gil, a War of the Lions ability, was showing an Inflict Status it
# does not have. If a value here ever looks wrong, that is the first thing
# to suspect.
#
# That is strong evidence and not a proof. If you find a value here that
# disagrees with the game, this file is yours to correct.
#
#columns: id|Range|EffectArea|Vertical|Element|Formula|X|Y|InflictStatus|CT|MPCost|Flags1|Flags2|Flags3|Flags4

40|0|0|0|0|0|0|0|0|0|0|0|0|0|0
41|4|0|0|0|18|140|0|0|4|24|0|0|162|64
42|4|1|1|0|9|190|25|0|6|24|0|0|226|66
43|4|1|3|0|9|120|50|0|10|50|0|0|226|66
44|4|3|3|0|8|0|40|0|20|70|0|0|34|64
45|3|0|0|1|101|0|0|0|0|0|5|17|2|8
46|4|1|1|0|10|200|0|48|2|4|0|0|226|66
47|4|0|0|0|15|160|33|0|2|2|1|1|34|64
48|4|0|0|0|16|160|25|0|2|16|1|1|34|64
49|4|0|0|0|10|150|0|49|4|6|0|0|226|0
50|4|0|0|0|10|150|0|50|4|6|0|0|226|0
51|4|0|0|0|10|100|0|51|5|20|0|0|226|66
52|4|1|1|0|10|180|0|52|3|16|0|0|226|66
53|4|0|0|0|10|120|0|53|5|16|0|0|226|66
54|4|0|0|0|97|140|30|0|4|20|0|0|226|66
55|4|0|0|0|10|130|0|54|5|20|0|0|226|66
56|4|0|0|0|10|200|0|55|3|34|0|0|98|64
57|4|1|0|0|10|185|0|56|5|10|0|0|226|66
58|4|1|1|0|10|170|0|57|6|24|0|0|226|66
59|4|0|0|0|10|120|0|58|10|16|0|0|226|66
60|4|2|2|0|12|0|10|0|3|8|0|128|34|0
61|4|2|2|32|8|0|20|0|7|24|0|64|34|0
62|4|2|2|64|8|0|20|0|7|24|0|64|34|0
63|4|2|2|128|8|0|20|0|7|24|0|64|34|0
64|4|2|2|8|8|0|22|0|10|30|0|64|34|0
65|0|0|0|0|20|200|0|0|4|40|2|16|34|1
66|4|2|2|0|11|150|0|47|5|30|0|128|34|0
67|4|3|3|0|8|0|42|0|15|60|0|64|34|0
68|4|3|3|0|8|0|36|0|13|50|0|64|34|0
69|4|3|3|4|8|0|34|0|13|48|0|64|34|0
70|4|2|2|128|8|0|34|0|13|48|0|64|34|0
71|4|2|2|0|10|150|0|52|7|26|0|64|34|0
72|4|2|2|0|12|0|20|0|7|28|0|128|34|0
73|4|2|2|1|9|160|50|0|10|40|0|64|34|0
74|4|2|2|0|8|0|44|0|12|62|0|64|34|0
75|4|3|3|0|8|0|90|0|17|99|0|64|34|0
76|0|2|3|0|32|0|8|0|0|0|2|64|2|1
77|0|2|3|0|32|0|12|0|0|0|2|64|2|1
78|0|2|3|0|33|0|4|0|0|0|2|64|2|1
79|0|2|3|0|35|0|12|0|0|0|2|128|2|1
80|0|2|3|0|32|0|14|43|0|0|2|64|2|1
81|0|2|3|0|34|0|0|37|0|0|2|128|2|1
82|0|2|3|0|32|0|18|77|0|0|2|64|2|1
83|8|8|3|0|32|0|16|0|0|0|17|85|2|0
84|0|2|3|0|34|0|0|78|0|0|2|128|2|1
85|0|2|3|0|32|0|30|0|0|0|2|64|2|1
86|0|255|255|0|28|100|20|0|6|0|2|128|4|1
87|0|255|255|0|28|100|10|0|6|0|2|128|4|1
88|0|255|255|0|28|50|0|0|8|0|2|128|4|1
89|0|255|255|0|28|50|0|0|8|0|2|128|4|1
90|0|255|255|0|28|50|0|0|10|0|2|128|4|1
91|0|255|255|0|28|50|0|59|10|0|2|128|4|1
92|0|255|255|0|28|50|0|0|20|0|2|128|4|1
93|0|255|255|0|29|100|20|0|6|0|2|64|4|1
94|0|255|255|0|29|100|10|0|6|0|2|64|4|1
95|0|255|255|0|29|50|0|0|8|0|2|64|4|1
96|0|255|255|0|29|50|0|0|8|0|2|64|4|1
97|0|255|255|0|29|50|0|0|10|0|2|64|4|1
98|0|255|255|0|29|50|0|60|10|0|2|64|4|1
99|0|255|255|0|29|34|0|0|20|0|2|64|4|1
100|0|1|0|0|49|0|0|0|0|0|3|17|0|3
101|1|0|1|0|50|9|0|0|0|0|9|17|2|2
102|3|0|3|0|49|0|2|0|0|0|9|17|2|2
103|8|8|2|8|49|0|0|0|0|0|17|21|2|0
104|1|0|0|0|80|50|0|61|0|0|9|17|2|0
105|0|1|0|0|51|120|0|38|0|0|2|16|0|1
106|0|1|0|0|52|0|5|0|0|0|2|16|0|1
107|1|0|0|0|53|70|20|32|0|0|9|16|0|0
108|1|0|1|0|39|200|0|0|0|0|9|81|0|18
109|3|0|0|0|41|50|0|62|0|0|1|81|0|0
110|1|0|1|0|38|40|0|0|0|0|9|81|0|18
111|1|0|1|0|38|35|0|0|0|0|9|81|0|18
112|1|0|1|0|38|35|0|0|0|0|9|81|0|18
113|1|0|1|0|38|30|0|0|0|0|9|81|0|18
114|1|0|1|0|38|40|0|0|0|0|9|81|0|18
115|1|0|1|0|40|70|5|0|0|0|9|17|0|0
116|3|0|3|0|42|20|0|63|0|0|9|80|32|0
117|3|0|3|0|42|30|0|0|0|0|8|16|32|0
118|3|0|3|0|42|50|4|0|0|0|8|16|32|0
119|3|0|3|0|42|90|20|0|0|0|8|16|32|0
120|3|0|3|0|42|50|4|0|0|0|8|16|32|0
121|3|0|3|0|42|90|20|0|0|0|8|16|32|0
122|3|0|3|0|42|30|0|61|0|0|8|16|32|0
123|3|0|3|0|42|90|0|0|0|0|9|81|32|0
124|3|0|3|0|42|40|0|53|0|0|8|16|32|0
125|3|1|3|0|42|40|0|57|0|0|8|16|32|0
126|5|1|0|0|36|0|2|65|0|0|0|17|0|128
127|5|1|0|4|36|0|2|66|0|0|0|17|0|128
128|5|1|0|0|36|0|2|67|0|0|0|17|0|128
129|5|1|0|0|36|0|2|68|0|0|0|17|0|128
130|5|1|0|8|36|0|2|69|0|0|0|17|0|128
131|5|1|0|16|36|0|2|70|0|0|0|17|0|128
132|5|1|0|128|36|0|2|71|0|0|0|17|0|128
133|5|1|0|4|36|0|2|72|0|0|0|17|0|128
134|5|1|0|16|36|0|2|73|0|0|0|17|0|128
135|5|1|0|32|36|0|2|74|0|0|0|17|0|128
136|5|1|0|16|36|0|2|75|0|0|0|17|0|128
137|5|1|0|128|36|0|2|76|0|0|0|17|0|128
138|0|0|0|0|37|0|45|0|0|0|32|16|0|18
139|0|0|0|0|37|0|40|0|0|0|32|16|0|18
140|0|0|0|0|37|0|55|0|0|0|32|16|0|18
141|0|0|0|0|37|0|30|0|0|0|32|16|0|18
142|0|0|0|0|44|50|50|0|0|0|32|16|0|18
143|0|0|0|0|43|2|50|0|0|0|32|16|0|18
144|0|0|0|0|43|3|50|0|0|0|32|16|0|18
145|0|0|0|0|43|3|50|0|0|0|32|16|0|18
146|0|0|0|0|54|0|1|0|0|0|2|16|0|0
147|1|0|1|0|55|0|4|0|0|0|9|17|0|0
148|4|0|0|0|55|0|2|0|0|0|1|17|0|34
149|1|0|2|0|56|0|0|79|0|0|8|16|0|0
150|3|0|0|0|57|0|1|0|0|0|0|16|16|0
151|3|0|0|0|58|0|5|0|0|0|0|16|16|0
152|1|0|3|0|60|0|0|0|0|0|9|16|16|0
153|0|0|0|0|59|10|1|0|0|0|2|16|16|0
154|4|1|1|0|8|0|23|0|5|10|0|0|50|0
155|2|1|0|2|45|0|2|117|0|0|4|17|18|8
156|3|0|2|2|45|0|3|118|0|0|12|17|18|8
157|3|0|1|2|45|0|2|119|0|0|12|17|18|8
158|3|1|1|66|45|0|4|120|0|0|4|17|18|8
159|5|5|2|2|45|0|5|121|0|0|21|21|18|8
160|3|0|0|0|46|0|5|0|0|0|5|17|18|8
161|3|0|0|0|46|0|4|0|0|0|5|17|18|8
162|3|0|0|0|46|0|3|0|0|0|5|17|18|8
163|3|0|0|0|46|0|2|0|0|0|5|17|18|8
164|3|0|0|1|47|0|0|0|0|0|5|17|18|8
165|3|0|0|1|48|0|0|0|0|0|5|17|18|8
166|4|0|0|1|8|0|37|0|7|40|0|0|50|64
167|4|0|0|0|11|200|0|80|4|20|0|0|48|0
168|0|255|255|0|65|50|0|81|5|0|2|80|18|1
169|4|1|3|64|30|10|10|0|3|0|0|8|51|1
170|4|1|3|128|30|10|11|0|4|0|0|8|51|1
171|4|1|3|16|30|10|12|0|5|0|0|8|51|1
172|4|1|3|4|30|10|14|0|6|0|0|8|51|1
173|4|1|3|0|30|10|8|82|5|0|0|8|51|1
174|4|1|3|8|30|10|22|0|7|0|0|8|51|1
175|4|1|3|64|31|10|34|0|3|0|0|8|51|1
176|4|1|3|128|31|10|37|0|4|0|0|8|51|1
177|4|1|3|16|31|10|40|0|5|0|0|8|51|1
178|4|1|3|4|31|10|46|0|6|0|0|8|51|1
179|4|1|3|0|31|10|27|82|5|0|0|8|51|1
180|4|1|3|8|31|10|75|0|7|0|0|8|51|1
181|6|0|0|0|56|0|0|83|0|0|0|16|16|0
182|4|0|0|0|56|0|0|44|0|0|1|17|16|0
183|1|0|0|0|56|0|0|41|0|0|9|17|16|0
184|3|0|0|1|102|0|0|0|0|0|5|17|2|8
185|5|0|3|0|67|0|0|0|0|0|9|17|16|0
186|5|0|3|0|68|0|0|0|0|0|9|17|16|0
187|5|0|0|0|56|0|0|114|0|0|1|17|18|0
188|5|0|0|0|56|0|0|56|0|0|1|17|18|0
189|5|0|0|0|56|0|0|45|0|0|1|17|18|0
190|5|0|0|0|56|0|0|48|0|0|1|17|18|0
191|5|1|0|0|56|0|0|52|0|0|1|1|18|0
192|5|1|0|0|56|0|0|54|0|0|1|1|18|0
193|5|1|0|0|56|0|0|44|0|0|1|1|18|0
194|5|1|0|0|56|0|0|84|0|0|1|1|18|0
195|5|1|0|0|56|0|0|98|0|0|1|1|18|0
196|4|1|0|0|27|250|50|0|3|20|5|1|18|8
197|4|1|0|0|26|3|250|0|3|20|5|1|18|8
198|4|1|0|0|26|5|250|0|3|20|5|1|18|8
199|4|1|0|0|26|5|250|0|3|20|5|1|18|8
200|1|0|0|0|71|0|25|85|0|0|9|16|16|0
201|3|0|0|0|41|70|0|62|0|0|1|81|16|0
202|4|1|2|0|8|0|12|86|3|8|0|1|178|66
203|4|1|2|0|8|0|12|87|3|8|0|1|178|66
204|4|1|2|0|8|0|12|88|3|8|0|1|178|66
205|4|1|3|0|10|110|0|97|5|16|0|1|178|66
206|4|1|3|0|10|110|0|98|5|16|0|1|178|66
207|4|1|3|0|10|120|0|99|5|16|0|1|178|66
208|4|1|3|0|10|110|0|114|5|16|0|1|178|66
209|4|2|3|0|8|0|24|89|6|24|0|1|178|66
210|4|2|3|0|8|0|24|90|6|24|0|1|178|66
211|4|2|3|0|8|0|24|91|6|24|0|1|178|66
212|5|0|0|0|11|200|0|92|4|30|0|0|48|0
213|0|0|0|0|63|50|0|45|0|0|32|16|16|0
214|0|0|0|0|63|50|0|56|0|0|32|16|16|0
215|0|0|0|0|64|70|0|93|0|0|32|16|16|0
216|4|3|3|128|8|0|38|0|7|70|0|0|50|64
217|4|3|3|16|8|0|37|0|7|70|0|0|50|64
218|4|3|3|8|8|0|39|0|7|70|0|0|50|64
219|3|0|2|1|103|0|2|117|0|0|12|17|2|8
220|3|3|2|1|104|0|2|0|0|0|21|21|2|8
221|4|1|3|0|10|160|0|40|4|35|0|64|50|0
222|4|1|3|0|23|160|0|0|4|35|0|64|50|0
223|4|1|3|0|8|0|38|0|4|35|0|64|50|0
224|4|1|3|0|10|200|0|48|4|35|0|64|50|0
225|1|0|0|0|49|0|0|0|0|0|9|17|16|2
226|1|0|0|0|49|0|0|0|0|0|9|17|16|2
227|4|1|3|0|10|160|0|54|4|35|0|64|50|0
228|4|1|3|0|10|150|0|57|4|35|0|64|50|0
229|4|2|3|0|8|0|30|0|10|40|0|0|50|0
230|5|3|3|0|8|0|55|0|15|50|0|0|50|0
231|4|2|3|0|22|200|0|0|7|0|0|0|50|0
232|4|2|3|0|10|200|0|55|7|0|0|64|50|0
233|4|2|3|0|21|200|0|0|7|0|0|64|50|0
234|4|0|0|0|10|220|0|48|0|6|5|17|16|10
235|4|0|0|0|15|200|25|0|0|2|5|17|16|10
236|4|0|0|0|16|200|25|0|0|12|5|17|16|10
237|4|0|0|0|10|200|0|49|0|10|5|17|16|10
238|4|0|0|0|10|200|0|50|0|10|5|17|16|10
239|4|0|0|0|10|190|0|51|0|14|5|17|16|10
240|4|0|0|0|10|200|0|52|0|16|5|17|16|10
241|4|0|0|0|10|180|0|53|0|16|5|17|16|10
242|4|0|0|0|97|200|50|0|0|12|5|17|16|10
243|4|0|0|0|10|190|0|54|0|14|5|17|16|10
244|4|0|0|0|10|200|0|55|0|20|5|17|16|10
245|4|0|0|0|10|200|0|56|0|14|5|17|16|10
246|4|0|0|0|10|190|0|57|0|20|5|17|16|10
247|4|0|0|0|10|180|0|58|0|24|5|17|16|10
248|2|2|2|32|78|0|12|0|0|0|25|21|17|34
249|2|2|2|128|78|0|12|0|0|0|25|21|17|34
250|2|2|2|64|78|0|12|0|0|0|25|21|17|34
251|2|0|2|0|90|0|0|63|0|0|9|81|16|0
252|2|0|2|0|91|0|0|94|0|0|9|17|16|0
253|2|0|2|0|92|5|2|0|0|0|9|17|16|0
254|2|0|2|0|93|0|0|0|0|0|9|17|16|0
255|4|2|3|2|30|10|20|0|0|0|0|25|17|0
256|8|0|0|0|67|0|0|0|0|20|5|17|16|8
257|2|0|0|0|78|0|8|0|3|0|5|17|16|4
258|2|1|0|0|78|0|12|0|4|0|5|17|16|4
259|2|0|0|0|67|0|0|0|5|0|5|17|16|4
260|2|0|0|0|69|0|0|0|7|0|5|17|16|4
261|3|2|0|0|78|0|20|0|10|0|5|17|16|4
262|3|1|0|0|56|0|0|95|5|0|5|17|16|4
263|3|2|0|0|78|0|30|0|15|0|5|17|16|4
264|3|2|0|0|78|0|42|0|20|0|5|17|16|4
265|1|0|2|0|1|0|0|0|0|0|9|17|16|146
266|4|0|0|0|49|0|0|0|0|0|1|17|16|2
267|5|0|0|0|78|0|4|0|0|0|0|16|16|0
268|0|1|2|0|81|65|0|100|0|0|2|16|16|0
269|0|1|2|0|76|0|3|0|0|0|2|16|16|0
270|1|0|2|0|1|0|0|0|0|0|9|17|16|146
271|1|0|1|0|79|35|0|0|0|0|9|17|16|18
272|0|1|1|0|49|0|0|0|0|0|3|17|16|1
273|1|0|2|0|80|45|0|48|0|0|9|17|16|18
274|1|0|0|0|77|30|75|0|0|0|9|17|16|2
275|1|0|2|0|1|0|0|0|0|0|9|17|16|146
276|1|0|0|0|78|0|4|0|0|0|9|17|16|2
277|0|2|3|0|82|0|0|101|0|0|2|16|16|1
278|3|0|0|128|78|0|3|0|0|0|1|17|16|2
279|0|2|1|128|78|0|2|0|0|0|2|16|16|1
280|1|0|3|0|1|0|0|0|0|0|9|17|16|146
281|1|0|2|0|55|0|8|0|0|0|9|17|16|2
282|3|0|0|0|61|30|0|102|0|0|1|17|16|34
283|1|0|2|0|80|40|0|39|0|0|9|17|16|18
284|1|0|0|0|71|0|25|107|0|0|9|17|16|18
285|1|0|2|0|1|0|0|0|0|0|9|17|16|146
286|2|2|2|0|80|50|0|48|0|0|25|21|17|34
287|0|2|1|0|56|0|0|55|0|0|2|16|16|1
288|3|1|1|0|61|35|0|103|0|0|0|17|16|0
289|4|0|0|0|89|60|0|0|0|0|0|17|16|0
290|1|0|2|0|1|0|0|0|0|0|9|17|16|146
291|3|0|0|64|78|0|2|0|0|0|1|17|16|34
292|3|0|0|4|78|0|2|0|0|0|1|17|16|34
293|3|0|0|32|78|0|2|0|0|0|1|17|16|34
294|3|0|0|16|78|0|3|0|0|0|1|17|16|34
295|3|0|0|0|1|0|0|0|0|0|1|17|16|162
296|1|0|2|0|80|45|0|108|0|0|9|17|16|18
297|1|0|2|0|80|40|0|109|0|0|9|17|16|18
298|1|0|2|0|77|60|34|0|0|0|9|17|16|18
299|1|0|2|0|80|50|0|110|0|0|9|17|16|18
300|1|0|2|0|1|0|0|0|0|0|9|17|16|146
301|3|0|0|0|80|35|0|111|0|0|1|17|16|34
302|3|0|0|0|98|40|10|0|0|0|1|17|16|34
303|4|0|0|0|86|55|2|0|0|0|1|17|16|0
304|3|0|0|0|61|40|0|61|0|0|1|17|48|0
305|1|0|2|0|1|0|0|0|0|0|9|17|16|146
306|1|0|0|0|80|37|0|112|0|0|9|17|16|18
307|1|0|1|0|39|200|0|0|0|0|9|81|16|18
308|3|0|0|0|78|0|2|0|0|0|1|17|16|0
309|1|0|1|0|85|45|2|0|0|0|9|17|16|18
310|1|0|0|0|1|0|0|0|0|0|9|17|16|146
311|1|0|1|0|41|40|0|62|0|0|9|81|17|0
312|1|0|1|0|53|70|100|32|0|0|9|17|17|0
313|1|0|1|0|56|0|0|104|0|0|9|17|17|0
314|1|0|1|0|87|0|0|96|0|0|9|17|16|0
315|0|1|0|0|78|0|3|0|0|0|3|17|16|129
316|0|1|0|0|81|45|0|35|0|0|3|17|16|1
317|0|1|0|0|81|45|0|36|0|0|3|17|16|1
318|0|1|0|0|76|0|2|0|0|0|3|17|16|1
319|0|1|0|0|84|0|1|0|0|0|3|17|16|1
320|1|0|2|0|1|0|0|0|0|0|9|17|16|146
321|0|1|1|0|49|0|1|0|0|0|3|17|16|17
322|0|2|1|8|78|0|3|0|0|0|3|17|16|1
323|0|0|0|0|54|0|2|0|0|0|2|16|16|0
324|2|2|2|128|78|0|4|0|0|0|25|21|17|34
325|1|0|1|0|1|0|0|0|0|0|9|17|16|146
326|1|0|0|0|56|0|0|47|0|0|9|17|16|0
327|1|0|1|0|56|0|0|45|0|0|9|17|16|18
328|0|2|0|0|56|0|0|105|0|0|3|17|16|1
329|1|0|0|0|88|5|0|0|0|0|9|17|16|2
330|1|0|2|0|1|0|0|0|0|0|9|17|16|146
331|1|0|0|0|49|0|2|41|0|0|9|17|16|18
332|4|2|2|16|83|50|34|0|0|0|0|16|16|0
333|4|2|1|0|67|0|0|0|0|0|0|16|16|0
334|4|2|0|0|78|0|7|0|0|0|0|16|16|0
335|1|0|2|0|1|0|0|0|0|0|9|17|16|146
336|1|0|2|0|55|0|15|0|0|0|9|17|16|18
337|2|2|2|32|78|0|5|0|0|0|25|21|17|34
338|2|2|2|128|78|0|5|0|0|0|25|21|17|34
339|2|2|2|64|78|0|5|0|0|0|25|21|17|34
340|1|1|1|0|1|0|0|0|0|0|17|19|16|146
341|2|2|2|0|83|120|50|0|0|0|25|19|17|2
342|4|1|0|64|94|2|12|0|0|0|1|25|17|0
343|4|1|0|128|94|2|24|0|0|0|1|25|17|0
344|4|1|0|1|94|5|1|113|0|0|1|25|17|0
345|1|0|2|0|49|0|5|0|0|0|9|17|16|19
346|4|2|1|0|56|0|0|116|0|0|0|17|18|1
347|4|2|2|0|78|0|24|0|10|0|0|0|50|1
348|4|0|0|0|67|0|0|0|2|0|0|0|18|1
349|4|2|1|0|95|0|5|0|5|0|0|0|18|1
350|4|2|2|0|56|0|0|106|5|0|0|65|18|1
351|1|0|2|0|66|8|10|0|0|0|9|17|16|128
352|1|0|2|0|66|6|12|41|0|0|9|17|16|0
353|8|0|0|0|66|4|10|0|0|0|1|17|16|0
354|1|0|0|0|66|4|16|0|0|0|9|17|16|0
355|4|0|0|0|60|0|0|0|0|0|1|17|16|0
356|4|0|0|0|56|0|0|105|0|0|1|17|16|0
357|0|2|3|1|105|0|2|75|0|0|3|1|2|8
358|0|0|0|0|106|50|0|0|0|0|32|16|24|144
359|1|0|1|0|39|200|1|0|0|0|9|81|16|18
360|3|0|0|0|41|60|0|62|0|0|1|81|16|0
361|1|0|1|0|38|50|0|0|0|0|9|81|16|18
362|1|0|1|0|38|45|0|0|0|0|9|81|16|18
363|1|0|1|0|38|45|0|0|0|0|9|81|16|18
364|1|0|1|0|38|40|0|0|0|0|9|81|16|18
365|1|0|1|0|38|50|0|0|0|0|9|81|16|18
366|1|0|1|0|40|80|15|0|0|0|9|17|16|0
367|1|0|1|0|1|0|0|0|0|0|9|1|24|130
